name,price,old_price,rating,reviews,link,page,discount_pct,discount_amount,discount_pct_calc,value_score,brand,price_range,discount_range
Hisense WSPA503 WM 5kg Twin Tub Machine,170000.0,,,,https://www.jumia.com.ng/hisense-wspa503-wm-5kg-twin-tub-machine-71786425.html,1,32.0,,,1.8824,Hisense,₦100k-200k,31-40%
3 Litres Whistling Gas & Stove Kettle,12000.0,,,,https://www.jumia.com.ng/3-litres-whistling-gas-stove-kettle-generic-mpg9623833.html,1,,,,,Generic,₦10k-25k,
Hisense 5kg Manual Washing Machine Twin Tub With Lint Filter,162315.0,,,,https://www.jumia.com.ng/hisense-5kg-manual-washing-machine-twin-tub-with-lint-filter-73456941.html,1,26.0,,,1.6018,Hisense,₦100k-200k,21-30%
Binatone 3 Litres Electric Jug (CEJ-3000) - Black + 2 Years Warranty,31919.0,,,,https://www.jumia.com.ng/binatone-3-litres-electric-jug-cej-3000-black-2-years-warranty-11450074.html,1,36.0,,,11.2785,Binatone,₦25k-50k,31-40%
Legacy 8L Yampounder And Multifunctional Food Machine Cooper Motor,46500.0,,,,https://www.jumia.com.ng/8l-yampounder-and-multifunctional-food-machine-cooper-motor-legacy-mpg11477566.html,1,15.0,,,3.2258,Legacy,₦25k-50k,11-20%
Qasa 2 Litres (QBL-8008 Pro) Commercial Blender,58900.0,,,,https://www.jumia.com.ng/qasa-2-litres-qbl-8008-pro-commercial-blender-46283728.html,1,1.0,,,0.1698,Qasa,₦50k-100k,1-10%
Binatone 1.7 Litres (CEJ-1780) Electric Kettle - White + 2 Years Warranty,22894.0,,,,https://www.jumia.com.ng/binatone-1.7-litres-cej-1780-electric-kettle-white-2-years-warranty-8936693.html,1,43.0,,,18.7822,Binatone,₦10k-25k,41-50%
Binatone Steam Iron (SI-1605) - Blue + 2 Years Warranty,16339.0,,,,https://www.jumia.com.ng/binatone-steam-iron-si-1605-blue-2-years-warranty-22867919.html,1,36.0,,,22.0332,Binatone,₦10k-25k,31-40%
AKAI 4.0kg Washing Machine - Spinning + Draining Function,165000.0,,,,https://www.jumia.com.ng/akai-4.0kg-washing-machine-spinning-draining-function-70586641.html,1,25.0,,,1.5152,AKAI,₦100k-200k,21-30%
ActiveO Bedbug And Insect Killer With Diatomaceous Earth - 500g,12500.0,,,,https://www.jumia.com.ng/bedbug-and-insect-killer-with-diatomaceous-earth-500g-activeo-mpg1593957.html,1,14.0,,,11.2,ActiveO,₦10k-25k,11-20%
"SILVER CREST German Industrial Food Crusher Blender, EXTRA MILL JAR",28000.0,,,,https://www.jumia.com.ng/silver-crest-german-industrial-food-crusher-blender-extra-mill-jar-71791179.html,1,38.0,,,13.5714,SILVER,₦25k-50k,31-40%
Century Quality Electric Spray & Steam Iron.,33000.0,,,,https://www.jumia.com.ng/century-quality-electric-spray-steam-iron.-71788248.html,1,27.0,,,8.1818,Century,₦25k-50k,21-30%
Blender + Electric Cooker + Electric Kettle + Toaster,56000.0,,,,https://www.jumia.com.ng/jumia-bundles-blender-electric-cooker-electric-kettle-toaster-38592353.html,1,14.0,,,2.5,Blender,₦50k-100k,11-20%
"SILVER CREST German Industrial 8500W Food Crusher Blender, EXTRA MILL JAR",31000.0,,,,https://www.jumia.com.ng/silver-crest-german-industrial-8500w-food-crusher-blender-extra-mill-jar-72157761.html,1,31.0,,,10.0,SILVER,₦25k-50k,31-40%
SILVER CREST 2 Litres German Industrial Blender 8500W,31000.0,,,,https://www.jumia.com.ng/silver-crest-2-litres-german-industrial-blender-8500w-72172768.html,1,31.0,,,10.0,SILVER,₦25k-50k,31-40%
Syinix 2.2L Electric Kettle Silver Ske22U1,5994.0,7229.0,3.9 out of 5,3.9 out of 5(10017),https://www.jumia.com.ng/syinix-2.2l-electric-kettle-silver-ske22u1-363941133.html,1,,1235.0,17.08,,Syinix,₦0-10k,
Electric Iron Pressing Clothes 1000W Hansen,6471.0,7095.0,3.8 out of 5,3.8 out of 5(4787),https://www.jumia.com.ng/electric-iron-pressing-clothes-1000w-hansen-mpg11131816.html,1,,624.0,8.79,,Hansen,₦0-10k,
Tropicwhirl Dry Iron 1000W White Blue,8940.0,,3.8 out of 5,3.8 out of 5(1165),https://www.jumia.com.ng/tropicwhirl-dry-iron-1000w-white-blue-418394176.html,1,,,,,Tropicwhirl,₦0-10k,
Binatone Dry Iron Di1255 2 Years Warranty,13759.0,16515.0,4 out of 5,4 out of 5(3328),https://www.jumia.com.ng/binatone-dry-iron-di1255-2-years-warranty-102988845.html,1,,2756.0,16.69,,Binatone,₦10k-25k,
Boscon 1.8 Liters Powerful Fast Heating Electric Jug Kettle,6353.0,7066.0,4 out of 5,4 out of 5(780),https://www.jumia.com.ng/boscon-1.8-liters-powerful-fast-heating-electric-jug-kettle-404625787.html,1,,713.0,10.09,,Boscon,₦0-10k,
Sonik Inverter Friendly Solar Pressing Iron 250W,12800.0,20000.0,4.4 out of 5,4.4 out of 5(188),https://www.jumia.com.ng/sonik-inverter-friendly-solar-pressing-iron-250w-408401756.html,1,,7200.0,36.0,,Sonik,₦10k-25k,
Ridax Bedbugs Killer Spray,11330.0,14000.0,4.2 out of 5,4.2 out of 5(144),https://www.jumia.com.ng/ridax-bedbugs-killer-spray-404625724.html,1,,2670.0,19.07,,Ridax,₦10k-25k,
Syinix 2L Mega Crusher 1500W Heavy Duty Industrial Multipurpose Blender Pure Copper Motor,48424.0,53266.0,4.5 out of 5,4.5 out of 5(25),https://www.jumia.com.ng/syinix-2l-mega-crusher-1500w-heavy-duty-industrial-multipurpose-blender-pure-copper-motor-418560007.html,1,,4842.0,9.09,,Syinix,₦25k-50k,
Acdc Inverter Friendly Solar Pressing Iron 250W Sonik,13300.0,14000.0,4.3 out of 5,4.3 out of 5(124),https://www.jumia.com.ng/acdc-inverter-friendly-solar-pressing-iron-250w-sonik-mpg11508235.html,1,,700.0,5.0,,Sonik,₦10k-25k,
8 In 1 Multi Purpose Grinder 4.0L 9500W Bardefu,65000.0,95000.0,3.7 out of 5,3.7 out of 5(79),https://www.jumia.com.ng/8-in-1-multi-purpose-grinder-4.0l-9500w-bardefu-mpg11939409.html,1,,30000.0,31.58,,Bardefu,₦50k-100k,
Qasa Acdc Dry Iron 300W Inverter Frendly Qdl 300,12000.0,25000.0,4.4 out of 5,4.4 out of 5(153),https://www.jumia.com.ng/qasa-acdc-dry-iron-300w-inverter-frendly-qdl-300-408854931.html,1,,13000.0,52.0,,Qasa,₦10k-25k,
Generic 3 In 1 Mini Dry Portable Handheld Usb Rechargeable Wireless Car Vacuum Cleaner,6854.0,10430.0,3.2 out of 5,3.2 out of 5(79),https://www.jumia.com.ng/generic-3-in-1-mini-dry-portable-handheld-usb-rechargeable-wireless-car-vacuum-cleaner-373873355.html,1,,3576.0,34.29,,Generic,₦0-10k,
Taigexin Hanging Electric Mosquito Insect Killer Range Lamp 6W,14900.0,35900.0,4 out of 5,4 out of 5(33),https://www.jumia.com.ng/taigexin-hanging-electric-mosquito-insect-killer-range-lamp-6w-418490861.html,1,,21000.0,58.5,,Taigexin,₦10k-25k,
Binatone 1.5 Litres Blg 403 Blender Black 2 Years Warranty,33733.0,40480.0,4.1 out of 5,4.1 out of 5(127),https://www.jumia.com.ng/binatone-1.5-litres-blg-403-blender-black-2-years-warranty-16292546.html,1,,6747.0,16.67,,Binatone,₦25k-50k,
Silver Crest 9.0 Litres Yam Pounder Food Processor,43000.0,55000.0,3.9 out of 5,3.9 out of 5(223),https://www.jumia.com.ng/silver-crest-9.0-litres-yam-pounder-food-processor-98326930.html,1,,12000.0,21.82,,SILVER,₦25k-50k,
Smooth Gliding Steam Iron Si 2410 Binatone,32205.0,38650.0,4.5 out of 5,4.5 out of 5(160),https://www.jumia.com.ng/smooth-gliding-steam-iron-si-2410-binatone-mpg1662357.html,1,,6445.0,16.68,,Binatone,₦25k-50k,
Nine 1.8L Electric Kettle Sh 01,8075.0,8500.0,4.1 out of 5,4.1 out of 5(184),https://www.jumia.com.ng/nine-1.8l-electric-kettle-sh-01-280233718.html,1,,425.0,5.0,,Nine,₦0-10k,
Generic Electric Iron Multifunctional Dry Ironing Black,13904.0,23500.0,3.3 out of 5,3.3 out of 5(47),https://www.jumia.com.ng/generic-electric-iron-multifunctional-dry-ironing-black-362550423.html,1,,9596.0,40.83,,Generic,₦10k-25k,
Generic Double Sided Glass Cleaning Tool For Windows Mirrors And Shower Doors,17880.0,29800.0,5 out of 5,5 out of 5(2),https://www.jumia.com.ng/generic-double-sided-glass-cleaning-tool-for-windows-mirrors-and-shower-doors-418821529.html,1,,11920.0,40.0,,Generic,₦10k-25k,
Generic Solar Inverter Low Voltage Generator Friendly Pressing Iron,13240.0,20000.0,4.4 out of 5,4.4 out of 5(56),https://www.jumia.com.ng/generic-solar-inverter-low-voltage-generator-friendly-pressing-iron-418650165.html,1,,6760.0,33.8,,Generic,₦10k-25k,
Orvica Ultraglide Steam Iron Dry Iron Energy Efficient Pro Steam Technology Infused Ceramic Soleplate Nonstick Variable Temperature And Self Clean Function.,14146.0,25000.0,3.7 out of 5,3.7 out of 5(88),https://www.jumia.com.ng/orvica-ultraglide-steam-iron-dry-iron-energy-efficient-pro-steam-technology-infused-ceramic-soleplate-nonstick-variable-temperature-and-self-clean-function.-413268323.html,1,,10854.0,43.42,,Orvica,₦10k-25k,
Generic Electric Cup Mini Electric Cooking Pot All In One,5409.0,11622.0,3.5 out of 5,3.5 out of 5(169),https://www.jumia.com.ng/generic-electric-cup-mini-electric-cooking-pot-all-in-one-271855178.html,1,,6213.0,53.46,,Generic,₦0-10k,
Timbutus Wireless Vacuum Cleaner Rechargeable For Car Home 120W,21605.0,34270.0,4.1 out of 5,4.1 out of 5(81),https://www.jumia.com.ng/timbutus-wireless-vacuum-cleaner-rechargeable-for-car-home-120w-363472816.html,1,,12665.0,36.96,,Timbutus,₦10k-25k,
1.7 Litres Auto Stop Electric Kettle Cej 1750 Redwhite Binatone,23810.0,28575.0,4.5 out of 5,4.5 out of 5(310),https://www.jumia.com.ng/1.7-litres-auto-stop-electric-kettle-cej-1750-redwhite-binatone-mpg11456726.html,1,,4765.0,16.68,,Binatone,₦10k-25k,
Generic Lm No More Sweat Premium Auto Grinde For Meat Grinder Fufu Pounding Machine,17714.0,71883.0,3.6 out of 5,3.6 out of 5(16),https://www.jumia.com.ng/generic-lm-no-more-sweat-premium-auto-grinde-for-meat-grinder-fufu-pounding-machine-409001748.html,1,,54169.0,75.36,,Generic,₦10k-25k,
Mythco Bug Zapper Racket 2 In 1 Electric Fly Swatter Usb Rechargeable 4000V High Voltage Mosquito Killer With 180 Rotation 3 Layer Safety Net For Indoor Outdoor Use,8278.0,29800.0,3.3 out of 5,3.3 out of 5(8),https://www.jumia.com.ng/mythco-bug-zapper-racket-2-in-1-electric-fly-swatter-usb-rechargeable-4000v-high-voltage-mosquito-killer-with-180-rotation-3-layer-safety-net-for-indoor-outdoor-use-418622011.html,1,,21522.0,72.22,,Mythco,₦0-10k,
Generic Handheld Cordless Car Vacuum Cleaner Portable Rechargeable,7450.0,22350.0,3.2 out of 5,3.2 out of 5(6),https://www.jumia.com.ng/generic-handheld-cordless-car-vacuum-cleaner-portable-rechargeable-418573875.html,1,,14900.0,66.67,,Generic,₦0-10k,
Sonik Electric Insect Killer40W,39376.0,45900.0,5 out of 5,5 out of 5(2),https://www.jumia.com.ng/sonik-electric-insect-killer40w-104733335.html,1,,6524.0,14.21,,Sonik,₦25k-50k,
Generic Powerful 8L Food Processor Yam Pounder Machine,37745.0,95000.0,3.4 out of 5,3.4 out of 5(5),https://www.jumia.com.ng/generic-powerful-8l-food-processor-yam-pounder-machine-401072276.html,1,,57255.0,60.27,,Generic,₦25k-50k,
Nine 3Ltr Yam Pounder Food Processor Sr Jrj 3,18050.0,19000.0,3.4 out of 5,3.4 out of 5(19),https://www.jumia.com.ng/nine-3ltr-yam-pounder-food-processor-sr-jrj-3-415875965.html,1,,950.0,5.0,,Nine,₦10k-25k,
Qasa 2L Litres 500W Blender Grinder Qbl 20L40 Eco,26600.0,40500.0,4 out of 5,4 out of 5(42),https://www.jumia.com.ng/qasa-2l-litres-500w-blender-grinder-qbl-20l40-eco-411766621.html,1,,13900.0,34.32,,Qasa,₦25k-50k,
Timbutus Portable Cordless Vacuum Cleaner For Car Home 120W,8742.0,22350.0,3.5 out of 5,3.5 out of 5(15),https://www.jumia.com.ng/timbutus-portable-cordless-vacuum-cleaner-for-car-home-120w-413746125.html,1,,13608.0,60.89,,Timbutus,₦0-10k,
Generic 10Pc Super Active Cockroach Insect Killer Repellant,2840.0,2990.0,5 out of 5,5 out of 5(4),https://www.jumia.com.ng/generic-10pc-super-active-cockroach-insect-killer-repellant-418684276.html,1,,150.0,5.02,,Generic,₦0-10k,
Generic Usb Folding Handheld Indoor Outdoor Mosquito Swatters,9403.0,19370.0,3.7 out of 5,3.7 out of 5(15),https://www.jumia.com.ng/generic-usb-folding-handheld-indoor-outdoor-mosquito-swatters-418180568.html,1,,9967.0,51.46,,Generic,₦0-10k,
Teknocool Cordless Electric Kettle Jug Free Gift Inside,7990.0,55000.0,3.7 out of 5,3.7 out of 5(61),https://www.jumia.com.ng/teknocool-cordless-electric-kettle-jug-free-gift-inside-388958106.html,1,,47010.0,85.47,,Teknocool,₦0-10k,
Generic Rechargeable Electric Shock Mosquito Killer Lamp,11352.0,11950.0,4.2 out of 5,4.2 out of 5(5),https://www.jumia.com.ng/generic-rechargeable-electric-shock-mosquito-killer-lamp-418572920.html,1,,598.0,5.0,,Generic,₦10k-25k,
Syinix Swallow Maker Fully Automatic Fufuebayam Pounder,112942.0,175299.0,4.4 out of 5,4.4 out of 5(143),https://www.jumia.com.ng/syinix-swallow-maker-fully-automatic-fufuebayam-pounder-288550293.html,1,,62357.0,35.57,,Syinix,₦100k-200k,
Generic Stainless Steel Whistling Kettlegass Stove Free Brush,,,4.4 out of 5,4.4 out of 5(8),https://www.jumia.com.ng/generic-stainless-steel-whistling-kettlegass-stove-free-brush-336457569.html,1,,,,,Generic,,
Generic Rechargeable Electric Shock Mosquito Killing Lamp Household Portable,8925.0,22350.0,4.7 out of 5,4.7 out of 5(3),https://www.jumia.com.ng/generic-rechargeable-electric-shock-mosquito-killing-lamp-household-portable-419096858.html,1,,13425.0,60.07,,Generic,₦0-10k,
Generic Intelligent Rechargeable Mosquito Swatter,7741.0,18041.0,3.6 out of 5,3.6 out of 5(19),https://www.jumia.com.ng/generic-intelligent-rechargeable-mosquito-swatter-408161111.html,1,,10300.0,57.09,,Generic,₦0-10k,
